epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,8677.55,1.32083,0.54978,1.09221,0.89805,0.83018,0.87287,0.33087,1.84483,0.78982,1.36459,0.0006668,0.0006668,0.0006668
103,8765.96,1.27588,0.53706,1.0651,0.90093,0.83532,0.87978,0.32574,1.86732,0.73158,1.36933,0.0006536,0.0006536,0.0006536
104,8854.78,1.32622,0.55149,1.07223,0.89274,0.84222,0.87809,0.33285,1.82457,0.739,1.35221,0.0006404,0.0006404,0.0006404
105,8944.07,1.27116,0.52543,1.03869,0.8799,0.83588,0.86944,0.32496,1.87931,0.81586,1.38189,0.0006272,0.0006272,0.0006272
106,9033.02,1.27549,0.52209,1.07882,0.88738,0.84028,0.87734,0.32979,1.88167,0.82025,1.38937,0.000614,0.000614,0.000614
107,9121.73,1.27312,0.51429,1.06844,0.91199,0.83036,0.88758,0.34084,1.87266,0.81898,1.36996,0.0006008,0.0006008,0.0006008
108,9210.85,1.23913,0.50333,1.04339,0.89704,0.84623,0.88533,0.34359,1.82306,0.76168,1.34756,0.0005876,0.0005876,0.0005876
109,9300.5,1.21526,0.51406,1.01063,0.90356,0.83234,0.88679,0.34158,1.85713,0.73077,1.3808,0.0005744,0.0005744,0.0005744
110,9389.58,1.25854,0.50742,1.04632,0.90903,0.85258,0.8868,0.33378,1.8296,0.72342,1.36203,0.0005612,0.0005612,0.0005612
111,9478.08,1.31258,0.52552,1.06115,0.90807,0.83829,0.88799,0.33283,1.84566,0.73667,1.37071,0.000548,0.000548,0.000548
112,9567.26,1.25118,0.49161,1.02958,0.86643,0.82374,0.85999,0.31743,1.93118,0.82035,1.42723,0.0005348,0.0005348,0.0005348
113,9656.75,1.20239,0.49983,0.97789,0.89748,0.82937,0.88198,0.32903,1.84105,0.76024,1.36025,0.0005216,0.0005216,0.0005216
114,9745.67,1.25244,0.51123,1.07412,0.90415,0.83929,0.88738,0.33656,1.84819,0.71501,1.36838,0.0005084,0.0005084,0.0005084
115,9834.02,1.30412,0.55059,1.06523,0.8888,0.82466,0.86696,0.32477,1.9171,0.86029,1.40966,0.0004952,0.0004952,0.0004952
116,9923.29,1.25735,0.50664,1.0483,0.90074,0.84621,0.8857,0.34025,1.86871,0.86907,1.37787,0.000482,0.000482,0.000482
117,10012.7,1.19677,0.47793,1.00902,0.89465,0.83631,0.87734,0.33338,1.84961,0.78568,1.38162,0.0004688,0.0004688,0.0004688
118,10101.1,1.27027,0.51067,1.06412,0.90212,0.83532,0.87945,0.33271,1.85887,0.74148,1.38305,0.0004556,0.0004556,0.0004556
119,10189.8,1.26954,0.51418,1.07824,0.89613,0.8388,0.87678,0.33861,1.8468,0.78963,1.36929,0.0004424,0.0004424,0.0004424
