epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,8031.07,1.33129,0.56743,1.12943,0.87545,0.84623,0.87518,0.32853,1.83191,0.65232,1.44506,0.000614,0.000614,0.000614
107,8092.9,1.33313,0.55422,1.14221,0.90232,0.82738,0.87858,0.3393,1.8332,0.65281,1.4551,0.0006008,0.0006008,0.0006008
108,8154.71,1.3198,0.56323,1.10154,0.88407,0.84731,0.87184,0.32873,1.85544,0.6246,1.4581,0.0005876,0.0005876,0.0005876
109,8217.73,1.34494,0.56097,1.16243,0.88566,0.8376,0.87291,0.31982,1.85383,0.6479,1.45193,0.0005744,0.0005744,0.0005744
110,8285.67,1.32404,0.57829,1.11544,0.88589,0.83948,0.87886,0.33635,1.8447,0.67145,1.46221,0.0005612,0.0005612,0.0005612
111,8357.34,1.33212,0.54538,1.13123,0.88638,0.83829,0.86599,0.32446,1.83723,0.6403,1.4635,0.000548,0.000548,0.000548
112,8427.94,1.34185,0.53557,1.16027,0.88581,0.83115,0.86633,0.32393,1.81873,0.64834,1.43212,0.0005348,0.0005348,0.0005348
113,8499.98,1.36638,0.56743,1.12992,0.90332,0.82501,0.86805,0.33001,1.81479,0.63131,1.44419,0.0005216,0.0005216,0.0005216
114,8571.1,1.40393,0.56517,1.17992,0.89406,0.81944,0.87251,0.33365,1.81341,0.64319,1.43399,0.0005084,0.0005084,0.0005084
115,8642.56,1.3282,0.533,1.12137,0.88522,0.83394,0.87445,0.33426,1.85547,0.63245,1.45041,0.0004952,0.0004952,0.0004952
116,8713.58,1.3511,0.54796,1.12998,0.90427,0.85417,0.88298,0.33262,1.81046,0.62892,1.44452,0.000482,0.000482,0.000482
117,8781.49,1.32076,0.58121,1.12315,0.87949,0.8326,0.86944,0.32482,1.85225,0.6327,1.46112,0.0004688,0.0004688,0.0004688
118,8842.26,1.34521,0.54476,1.1544,0.88401,0.84686,0.88121,0.33058,1.85431,0.63918,1.4598,0.0004556,0.0004556,0.0004556
